Unnamed: 0,year,key,OpenAlex_count,issn,oa_status,Dim_count,Publisher_Journalname,unique_id,Publisher,ISSN_1
0,2019,gold,1284,2211-1247,gold,1265,Elsevier_Cell Reports,484,Elsevier,2211-1247
1,2019,green,3,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
2,2019,closed,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
3,2019,bronze,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
4,2019,hybrid,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
5,2020,gold,1311,2211-1247,gold,1299,Elsevier_Cell Reports,484,Elsevier,2211-1247
6,2020,green,20,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
7,2020,closed,9,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
8,2020,bronze,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
9,2020,hybrid,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
10,2021,gold,1304,2211-1247,gold,1382,Elsevier_Cell Reports,484,Elsevier,2211-1247
11,2021,green,82,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
12,2021,closed,32,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
13,2021,bronze,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
14,2021,hybrid,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
15,2022,gold,1268,2211-1247,gold,1477,Elsevier_Cell Reports,484,Elsevier,2211-1247
16,2022,green,163,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
17,2022,closed,70,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
18,2022,bronze,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
19,2022,hybrid,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
20,2023,gold,1590,2211-1247,gold,1571,Elsevier_Cell Reports,484,Elsevier,2211-1247
21,2023,bronze,9,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
22,2023,green,5,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
23,2023,closed,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
24,2023,hybrid,0,2211-1247,,0,Elsevier_Cell Reports,484,Elsevier,2211-1247
0,2019,gold,434,2214-109X,gold,121,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
1,2019,closed,6,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
2,2019,green,1,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
3,2019,bronze,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
4,2019,hybrid,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
5,2020,gold,395,2214-109X,gold,124,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
6,2020,closed,6,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
7,2020,green,4,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
8,2020,bronze,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
9,2020,hybrid,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
10,2021,gold,425,2214-109X,gold,138,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
11,2021,green,9,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
12,2021,closed,4,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
13,2021,bronze,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
14,2021,hybrid,0,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
15,2022,gold,361,2214-109X,gold,146,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
16,2022,green,50,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
17,2022,closed,12,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
18,2022,hybrid,4,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
19,2022,bronze,1,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
20,2023,gold,329,2214-109X,gold,168,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
21,2023,closed,46,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
22,2023,green,42,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
23,2023,hybrid,2,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
24,2023,bronze,1,2214-109X,,0,Elsevier_The Lancet Global Health,3094,Elsevier,2214-109X
0,2019,gold,162,2542-5196,gold,36,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
1,2019,green,2,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
2,2019,closed,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
3,2019,bronze,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
4,2019,hybrid,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
5,2020,gold,136,2542-5196,gold,47,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
6,2020,green,6,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
7,2020,closed,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
8,2020,bronze,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
9,2020,hybrid,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
10,2021,gold,172,2542-5196,gold,80,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
11,2021,green,15,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
12,2021,closed,12,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
13,2021,bronze,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
14,2021,hybrid,0,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
15,2022,gold,154,2542-5196,gold,90,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
16,2022,green,23,2542-5196,,0,Elsevier_The Lancet Planetary Health,3102,Elsevier,2542-5196
